location,YEAR,DOY,GWETTOP,TIMESTAMP
mar,2019,360,0.59,12/26/2019
mar,2019,361,0.59,12/27/2019
mar,2019,362,0.59,12/28/2019
mar,2019,363,0.64,12/29/2019
mar,2019,364,0.66,12/30/2019
mar,2019,365,0.6,12/31/2019
mar,2020,1,0.6,1/1/2020
mar,2020,2,0.59,1/2/2020
mar,2020,3,0.66,1/3/2020
mar,2020,4,0.7,1/4/2020
mar,2020,5,0.62,1/5/2020
mar,2020,6,0.63,1/6/2020
mar,2020,7,0.62,1/7/2020
mar,2020,8,0.61,1/8/2020
mar,2020,9,0.61,1/9/2020
mar,2020,10,0.61,1/10/2020
mar,2020,11,0.64,1/11/2020
mar,2020,12,0.7,1/12/2020
mar,2020,13,0.64,1/13/2020
mar,2020,14,0.63,1/14/2020
mar,2020,15,0.63,1/15/2020
mar,2020,16,0.62,1/16/2020
mar,2020,17,0.61,1/17/2020
mar,2020,18,0.61,1/18/2020
mar,2020,19,0.63,1/19/2020
mar,2020,20,0.61,1/20/2020
mar,2020,21,0.61,1/21/2020
mar,2020,22,0.61,1/22/2020
mar,2020,23,0.62,1/23/2020
mar,2020,24,0.66,1/24/2020
mar,2020,25,0.63,1/25/2020
mar,2020,26,0.62,1/26/2020
mar,2020,27,0.63,1/27/2020
mar,2020,28,0.61,1/28/2020
mar,2020,29,0.63,1/29/2020
mar,2020,30,0.63,1/30/2020
mar,2020,31,0.65,1/31/2020
mar,2020,32,0.62,2/1/2020
mar,2020,33,0.61,2/2/2020
mar,2020,34,0.61,2/3/2020
mar,2020,35,0.61,2/4/2020
mar,2020,36,0.66,2/5/2020
mar,2020,37,0.77,2/6/2020
mar,2020,38,0.67,2/7/2020
mar,2020,39,0.66,2/8/2020
mar,2020,40,0.65,2/9/2020
mar,2020,41,0.65,2/10/2020
mar,2020,42,0.65,2/11/2020
mar,2020,43,0.64,2/12/2020
mar,2020,44,0.68,2/13/2020
mar,2020,45,0.7,2/14/2020
mar,2020,46,0.65,2/15/2020
mar,2020,47,0.72,2/16/2020
mar,2020,48,0.69,2/17/2020
mar,2020,49,0.66,2/18/2020
mar,2020,50,0.66,2/19/2020
mar,2020,51,0.72,2/20/2020
mar,2020,52,0.67,2/21/2020
mar,2020,53,0.66,2/22/2020
mar,2020,54,0.66,2/23/2020
mar,2020,55,0.69,2/24/2020
mar,2020,56,0.81,2/25/2020
mar,2020,57,0.73,2/26/2020
mar,2020,58,0.7,2/27/2020
mar,2020,59,0.7,2/28/2020
mar,2020,60,0.69,2/29/2020
mar,2020,61,0.69,3/1/2020
mar,2020,62,0.69,3/2/2020
mar,2020,63,0.69,3/3/2020
mar,2020,64,0.81,3/4/2020
mar,2020,65,0.77,3/5/2020
mar,2020,66,0.72,3/6/2020
mar,2020,67,0.71,3/7/2020
mar,2020,68,0.71,3/8/2020
mar,2020,69,0.7,3/9/2020
mar,2020,70,0.7,3/10/2020
mar,2020,71,0.7,3/11/2020
mar,2020,72,0.7,3/12/2020
mar,2020,73,0.69,3/13/2020
mar,2020,74,0.69,3/14/2020
mar,2020,75,0.68,3/15/2020
mar,2020,76,0.67,3/16/2020
mar,2020,77,0.68,3/17/2020
mar,2020,78,0.66,3/18/2020
mar,2020,79,0.66,3/19/2020
mar,2020,80,0.65,3/20/2020
mar,2020,81,0.65,3/21/2020
mar,2020,82,0.64,3/22/2020
mar,2020,83,0.63,3/23/2020
mar,2020,84,0.62,3/24/2020
mar,2020,85,0.61,3/25/2020
mar,2020,86,0.61,3/26/2020
mar,2020,87,0.6,3/27/2020
mar,2020,88,0.59,3/28/2020
mar,2020,89,0.59,3/29/2020
mar,2020,90,0.57,3/30/2020
mar,2020,91,0.65,3/31/2020
mar,2020,92,0.59,4/1/2020
mar,2020,93,0.57,4/2/2020
mar,2020,94,0.57,4/3/2020
mar,2020,95,0.55,4/4/2020
mar,2020,96,0.55,4/5/2020
mar,2020,97,0.54,4/6/2020
mar,2020,98,0.53,4/7/2020
mar,2020,99,0.54,4/8/2020
mar,2020,100,0.55,4/9/2020
mar,2020,101,0.52,4/10/2020
mar,2020,102,0.49,4/11/2020
mar,2020,103,0.49,4/12/2020
mar,2020,104,0.63,4/13/2020
mar,2020,105,0.54,4/14/2020
mar,2020,106,0.57,4/15/2020
mar,2020,107,0.52,4/16/2020
mar,2020,108,0.49,4/17/2020
mar,2020,109,0.48,4/18/2020
mar,2020,110,0.55,4/19/2020
mar,2020,111,0.61,4/20/2020
mar,2020,112,0.52,4/21/2020
mar,2020,113,0.48,4/22/2020
mar,2020,114,0.69,4/23/2020
mar,2020,115,0.65,4/24/2020
mar,2020,116,0.58,4/25/2020
mar,2020,117,0.55,4/26/2020
mar,2020,118,0.55,4/27/2020
mar,2020,119,0.53,4/28/2020
mar,2020,120,0.59,4/29/2020
mar,2020,121,0.62,4/30/2020
mar,2020,122,0.55,5/1/2020
mar,2020,123,0.54,5/2/2020
mar,2020,124,0.52,5/3/2020
mar,2020,125,0.5,5/4/2020
mar,2020,126,0.48,5/5/2020
mar,2020,127,0.45,5/6/2020
mar,2020,128,0.43,5/7/2020
mar,2020,129,0.42,5/8/2020
mar,2020,130,0.41,5/9/2020
mar,2020,131,0.41,5/10/2020
mar,2020,132,0.39,5/11/2020
mar,2020,133,0.38,5/12/2020
mar,2020,134,0.36,5/13/2020
mar,2020,135,0.35,5/14/2020
mar,2020,136,0.34,5/15/2020
mar,2020,137,0.34,5/16/2020
mar,2020,138,0.38,5/17/2020
mar,2020,139,0.42,5/18/2020
mar,2020,140,0.41,5/19/2020
mar,2020,141,0.57,5/20/2020
mar,2020,142,0.47,5/21/2020
mar,2020,143,0.45,5/22/2020
mar,2020,144,0.48,5/23/2020
mar,2020,145,0.45,5/24/2020
mar,2020,146,0.4,5/25/2020
mar,2020,147,0.45,5/26/2020
mar,2020,148,0.56,5/27/2020
mar,2020,149,0.5,5/28/2020
mar,2020,150,0.53,5/29/2020
mar,2020,151,0.48,5/30/2020
mar,2020,152,0.42,5/31/2020
mar,2020,153,0.4,6/1/2020
mar,2020,154,0.39,6/2/2020
mar,2020,155,0.4,6/3/2020
mar,2020,156,0.39,6/4/2020
mar,2020,157,0.38,6/5/2020
mar,2020,158,0.52,6/6/2020
mar,2020,159,0.67,6/7/2020
mar,2020,160,0.58,6/8/2020
mar,2020,161,0.62,6/9/2020
mar,2020,162,0.55,6/10/2020
mar,2020,163,0.53,6/11/2020
mar,2020,164,0.52,6/12/2020
mar,2020,165,0.49,6/13/2020
mar,2020,166,0.45,6/14/2020
mar,2020,167,0.42,6/15/2020
mar,2020,168,0.41,6/16/2020
mar,2020,169,0.39,6/17/2020
mar,2020,170,0.38,6/18/2020
mar,2020,171,0.36,6/19/2020
mar,2020,172,0.34,6/20/2020
mar,2020,173,0.33,6/21/2020
mar,2020,174,0.37,6/22/2020
mar,2020,175,0.45,6/23/2020
mar,2020,176,0.45,6/24/2020
mar,2020,177,0.45,6/25/2020
mar,2020,178,0.39,6/26/2020
mar,2020,179,0.36,6/27/2020
mar,2020,180,0.36,6/28/2020
mar,2020,181,0.34,6/29/2020
mar,2020,182,0.38,6/30/2020
mar,2020,183,0.49,7/1/2020
mar,2020,184,0.46,7/2/2020
mar,2020,185,0.55,7/3/2020
mar,2020,186,0.52,7/4/2020
mar,2020,187,0.59,7/5/2020
mar,2020,188,0.63,7/6/2020
mar,2020,189,0.63,7/7/2020
mar,2020,190,0.57,7/8/2020
mar,2020,191,0.54,7/9/2020
mar,2020,192,0.55,7/10/2020
mar,2020,193,0.49,7/11/2020
mar,2020,194,0.45,7/12/2020
mar,2020,195,0.45,7/13/2020
mar,2020,196,0.45,7/14/2020
mar,2020,197,0.52,7/15/2020
mar,2020,198,0.46,7/16/2020
mar,2020,199,0.41,7/17/2020
mar,2020,200,0.39,7/18/2020
mar,2020,201,0.38,7/19/2020
mar,2020,202,0.37,7/20/2020
mar,2020,203,0.41,7/21/2020
mar,2020,204,0.42,7/22/2020
mar,2020,205,0.49,7/23/2020
mar,2020,206,0.45,7/24/2020
mar,2020,207,0.42,7/25/2020
mar,2020,208,0.39,7/26/2020
mar,2020,209,0.38,7/27/2020
mar,2020,210,0.47,7/28/2020
mar,2020,211,0.45,7/29/2020
mar,2020,212,0.41,7/30/2020
mar,2020,213,0.39,7/31/2020
mar,2020,214,0.35,8/1/2020
mar,2020,215,0.33,8/2/2020
mar,2020,216,0.35,8/3/2020
mar,2020,217,0.33,8/4/2020
mar,2020,218,0.32,8/5/2020
mar,2020,219,0.34,8/6/2020
mar,2020,220,0.38,8/7/2020
mar,2020,221,0.35,8/8/2020
mar,2020,222,0.32,8/9/2020
mar,2020,223,0.36,8/10/2020
mar,2020,224,0.51,8/11/2020
mar,2020,225,0.42,8/12/2020
mar,2020,226,0.41,8/13/2020
mar,2020,227,0.41,8/14/2020
mar,2020,228,0.4,8/15/2020
mar,2020,229,0.37,8/16/2020
mar,2020,230,0.34,8/17/2020
mar,2020,231,0.41,8/18/2020
mar,2020,232,0.59,8/19/2020
mar,2020,233,0.56,8/20/2020
mar,2020,234,0.52,8/21/2020
mar,2020,235,0.5,8/22/2020
mar,2020,236,0.51,8/23/2020
mar,2020,237,0.64,8/24/2020
mar,2020,238,0.55,8/25/2020
mar,2020,239,0.5,8/26/2020
mar,2020,240,0.48,8/27/2020
mar,2020,241,0.51,8/28/2020
mar,2020,242,0.56,8/29/2020
mar,2020,243,0.55,8/30/2020
mar,2020,244,0.57,8/31/2020
mar,2020,245,0.57,9/1/2020
mar,2020,246,0.51,9/2/2020
mar,2020,247,0.48,9/3/2020
mar,2020,248,0.46,9/4/2020
mar,2020,249,0.44,9/5/2020
mar,2020,250,0.41,9/6/2020
mar,2020,251,0.4,9/7/2020
mar,2020,252,0.39,9/8/2020
mar,2020,253,0.38,9/9/2020
mar,2020,254,0.51,9/10/2020
mar,2020,255,0.52,9/11/2020
mar,2020,256,0.52,9/12/2020
mar,2020,257,0.49,9/13/2020
mar,2020,258,0.52,9/14/2020
mar,2020,259,0.63,9/15/2020
mar,2020,260,0.85,9/16/2020
mar,2020,261,0.71,9/17/2020
mar,2020,262,0.65,9/18/2020
mar,2020,263,0.64,9/19/2020
mar,2020,264,0.63,9/20/2020
mar,2020,265,0.62,9/21/2020
mar,2020,266,0.62,9/22/2020
mar,2020,267,0.61,9/23/2020
mar,2020,268,0.66,9/24/2020
mar,2020,269,0.67,9/25/2020
mar,2020,270,0.62,9/26/2020
mar,2020,271,0.7,9/27/2020
mar,2020,272,0.65,9/28/2020
mar,2020,273,0.64,9/29/2020
mar,2020,274,0.62,9/30/2020
mar,2020,275,0.62,10/1/2020
mar,2020,276,0.6,10/2/2020
mar,2020,277,0.59,10/3/2020
mar,2020,278,0.59,10/4/2020
mar,2020,279,0.59,10/5/2020
mar,2020,280,0.59,10/6/2020
mar,2020,281,0.58,10/7/2020
mar,2020,282,0.59,10/8/2020
mar,2020,283,0.6,10/9/2020
mar,2020,284,0.59,10/10/2020
mar,2020,285,0.59,10/11/2020
mar,2020,286,0.58,10/12/2020
mar,2020,287,0.56,10/13/2020
mar,2020,288,0.55,10/14/2020
mar,2020,289,0.54,10/15/2020
mar,2020,290,0.53,10/16/2020
mar,2020,291,0.52,10/17/2020
mar,2020,292,0.51,10/18/2020
mar,2020,293,0.5,10/19/2020
mar,2020,294,0.49,10/20/2020
mar,2020,295,0.5,10/21/2020
mar,2020,296,0.49,10/22/2020
mar,2020,297,0.48,10/23/2020
mar,2020,298,0.61,10/24/2020
mar,2020,299,0.59,10/25/2020
mar,2020,300,0.53,10/26/2020
mar,2020,301,0.53,10/27/2020
mar,2020,302,0.53,10/28/2020
mar,2020,303,0.55,10/29/2020
mar,2020,304,0.52,10/30/2020
mar,2020,305,0.5,10/31/2020
