Location,year,variety,inoculum,date,dap,dt,N Rows,myIncObs,myInc_dy,myIncCum,myIncAbsR,alIncObs,alInc_dy,alIncCum,alIncAbsR,syIncObs,syInc_dy,syIncCum,syIncAbsR
Marianna,2019,GA06G,Scl1,8/8/2019,78,15,4,3.75,3.75,27.5,0.25,36.25,20,43.75,1.333333334,36.25,27.5,40,1.833333334
Marianna,2019,GA06G,Scl1,8/23/2019,93,15,4,32.5,20,47.5,1.333333333,45,22.5,66.25,1.5,36.25,17.5,57.5,1.166666667
Marianna,2019,GA06G,Scl1,9/5/2019,106,13,4,18.75,8.75,56.25,0.673076923,43.75,6.25,72.5,0.480769231,38.75,7.5,65,0.576923077
Marianna,2019,GA06G,Scl1,9/20/2019,121,15,4,6.25,3.75,60,0.25,41.25,6.25,78.75,0.416666667,37.5,3.75,68.75,0.25
Marianna,2019,GA06G,Scl1,10/2/2019,133,12,4,6.25,3.75,63.75,0.3125,31.25,3.75,82.5,0.3125,28.75,3.75,72.5,0.3125
Marianna,2020,GA06G,Scl1,7/9/2020,44,44,4,1.25,1.25,1.25,0.028409091,1.25,1.25,1.25,0.028409091,0,0,0,0
Marianna,2020,GA06G,Scl1,7/24/2020,59,15,4,1.25,1.25,2.5,0.083333333,1.25,1.25,2.5,0.083333333,0,0,0,0
Marianna,2020,GA06G,Scl1,8/7/2020,73,14,4,5,3.75,6.25,0.267857143,5,3.75,6.25,0.267857143,0,0,0,0
Marianna,2020,GA06G,Scl1,8/21/2020,87,14,4,13.75,12.5,18.75,0.892857143,13.75,12.5,18.75,0.892857143,0,0,0,0
Marianna,2020,GA06G,Scl1,9/4/2020,101,14,4,0,0,18.75,0,6.25,5,23.75,0.357142857,6.25,6.25,6.25,0.446428571
Marianna,2020,GA06G,Scl1,10/19/2020,146,45,4,0,0,18.75,0,8.75,7.5,31.25,0.166666667,8.75,7.5,13.75,0.166666667
Quincy,2019,GA06G,Scl1,7/3/2019,48,48,4,0,0,0,0,0,0,0,0,0,0,0,0
Quincy,2019,GA06G,Scl1,7/11/2019,56,8,4,0,0,0,0,13.75,13.75,13.75,1.71875,0,0,0,0
Quincy,2019,GA06G,Scl1,8/16/2019,92,36,4,12.5,12.5,12.5,0.347222222,20,12.5,26.25,0.347222222,12.5,12.5,12.5,0.347222223
Quincy,2019,GA06G,Scl1,9/6/2019,113,21,4,0,0,12.5,0,3.75,0,26.25,0,20,13.75,26.25,0.654761905
Quincy,2019,GA06G,Scl1,9/19/2019,126,13,4,0,0,12.5,0,20,6.25,32.5,0.480769231,3.75,0,26.25,0
Quincy,2019,GA06G,Scl1,10/1/2019,138,12,4,0,0,12.5,0,0,0,32.5,0,20,6.25,32.5,0.520833333
Quincy,2020,GA06G,Scl1,7/12/2020,58,58,4,6.25,6.25,6.25,0.107758621,6.25,6.25,6.25,0.107758621,0,0,0,0
Quincy,2020,GA06G,Scl1,7/23/2020,69,11,4,3.75,3.75,10,0.340909091,3.75,3.75,10,0.340909091,0,0,0,0
Quincy,2020,GA06G,Scl1,8/6/2020,83,14,4,11.25,10,20,0.714285714,11.25,10,20,0.714285714,7.5,7.5,7.5,0.535714286
Quincy,2020,GA06G,Scl1,8/20/2020,97,14,4,47.5,35,55,2.5,47.5,35,55,2.5,1.25,1.25,1.25,0.089285714
Quincy,2020,GA06G,Scl1,9/3/2020,111,14,4,2.5,2.5,57.5,0.178571429,56.25,18.75,73.75,1.339285715,5,5,6.25,0.357142857
Quincy,2020,GA06G,Scl1,9/21/2020,129,18,4,0,0,57.5,0,57.5,3.75,77.5,0.208333333,0,0,6.25,0
